gender,race,age,income,credit_score,loan_amount,employment_years,debt_to_income_ratio,education,property_value,down_payment_pct,loan_to_value,approved,age_group
Male,White,22,21556.62077276109,576,75351.39298349059,3.5071561490908203,19.763080402174193,Some College,146314.8144320613,13.28793944236615,51.49949666817824,1,18-25
Female,White,26,33522.68701226223,602,94375.16433111766,13.211844311107999,17.20715475394674,High School,166512.22310828412,17.224523874832364,56.67761955814187,1,26-35
Female,Hispanic,44,118675.29883422909,526,35254.16343851348,1.167328300247556,11.844065387778993,High School,54533.49296191097,19.253622907476814,64.64680973789231,0,36-45
Male,White,25,54557.51061068673,543,19406.533790109064,5.829655941699005,2.6176176818566614,Some College,25186.149054990325,22.054744770409638,77.05240585902075,0,18-25
Male,Hispanic,53,20000.0,702,35419.6131680751,22.658124755178214,15.11325190507245,High School,66555.59385392773,15.423282021974403,53.21808598960437,0,46-55
Male,White,39,20000.0,665,90459.72816583808,5.473817451335008,11.784868378645823,Bachelor,143557.00832422017,15.078687258369792,63.01310484371261,1,36-45
Male,Hispanic,41,34494.378230620685,708,212486.72337956147,0.35626604651298527,33.645002079820024,Bachelor,390445.69441510417,16.137580500450145,54.42158190471815,0,36-45
Female,Hispanic,36,20000.0,675,46273.355824861246,4.438812177048364,8.300073372742876,Bachelor,56764.23217527749,18.55243071371962,81.51850919427159,0,36-45
Female,White,49,61012.70487488862,734,234570.98504112294,0.9912959421384138,12.984899967724296,Graduate,332838.23078966467,19.145950073056177,70.47597401434297,0,46-55
Female,White,49,37564.33913110638,755,98507.88359895219,0.15488834549557348,12.976375855151193,Some College,167234.49948239315,13.342057631277802,58.90404426350039,1,46-55
Male,White,44,41452.68002211365,440,25956.585138767932,2.0395456913802743,23.900603283590048,Some College,41279.76074943064,11.332659711751287,62.8796889020873,1,36-45
Female,Black,46,20632.14250829386,547,68078.74321663236,1.5469403147426266,12.622959100893347,Some College,97764.9953952347,14.353697751726166,69.63509070031694,0,46-55
Female,White,37,146254.99585885863,622,100547.40301268511,7.774059734720127,9.936671513478961,High School,136835.38205163667,23.223465480791933,73.48055854058434,0,36-45
Male,Black,46,352947.63509635994,647,13970.59804918555,2.3394736014162727,23.835598435555898,Some College,20137.927824981,17.052357194421035,69.37455616389235,1,46-55
Male,White,35,29060.415092237068,569,88139.02661824459,6.6017612595877715,30.73870678860729,Some College,158110.08971281536,18.16513224266213,55.745352354385915,0,26-35
Male,White,40,48167.095393595635,759,121010.51333782385,0.08186144713404543,28.333973552886388,Bachelor,162997.03263586422,12.582405652212145,74.24093026782987,0,36-45
Male,White,36,39258.91669888641,850,76063.27772393185,0.07461464258715288,3.796021548078047,Some College,127409.83641194066,20.510830725619492,59.699690279802695,1,36-45
Male,White,34,29503.096686639383,672,57697.39323606467,0.14875841057827627,21.826159149364706,High School,88793.09560579585,9.089821471044429,64.97959423806658,0,26-35
Male,White,31,20000.0,660,53973.261753192026,1.2381959341988418,3.910371645691757,Bachelor,97714.82971397667,7.717135082833372,55.2354866821939,0,26-35
Male,Hispanic,45,20000.0,751,52114.92230761444,2.341926976692412,24.690799659517435,Bachelor,70943.77368278612,11.41041163370518,73.45947304782247,1,36-45
Female,Black,55,20000.0,426,29566.939808052426,4.6805007857071,27.73358273035798,Graduate,41868.9055643636,12.804153202632282,70.6178950930547,0,46-55
Male,White,54,50221.17454542203,653,39635.70771246002,21.31282888633006,14.080274134504117,High School,60204.65924162498,9.508891221751174,65.83495066949277,0,46-55
Male,Asian,24,23962.8601610751,767,46632.06028977384,2.18794990465816,5.376755582192056,Bachelor,62172.68341011817,23.86142499094968,75.00409783211127,1,18-25
Male,Black,55,20000.0,572,64093.39578562944,0.2863392525599056,22.038194531055236,Bachelor,100559.70619502435,14.970078694675513,63.73665776362496,0,46-55
Male,Asian,36,51838.405708773695,502,42869.29632961001,1.0839449323920949,3.594131220497047,High School,65711.79990174228,5.512323848551362,65.23835352815131,0,36-45
Female,White,47,35220.76047769208,627,35543.85106688215,11.406654550282338,4.442839158966457,Bachelor,70805.78378376782,13.718239207166306,50.199078616838285,1,46-55
Male,White,29,106653.27177584873,642,94453.46095186436,6.009527881702624,25.651405616112687,High School,158218.13928225893,4.049733128179803,59.698250390469276,1,26-35
Male,White,41,48947.22313127475,540,74784.68396488811,7.808022553807474,5.260900285578103,Bachelor,93897.37723402503,9.65711173798973,79.64512552730689,1,36-45
Male,Black,43,20000.0,850,43324.010613109,0.6629061104565674,32.51554622095939,Bachelor,67930.02619048185,8.195948685401634,63.77740896437256,0,36-45
Male,White,22,20000.0,592,81126.67353565134,0.7250536510337429,25.34136381409267,Bachelor,154367.93375091755,10.043516500778853,52.55409693217399,0,18-25
